UUID,slug,7/21/2022 18:27,7/21/2022 20:35,7/21/2022 20:46,7/21/2022 20:59,7/21/2022 21:59,7/21/2022 22:59,7/21/2022 23:59,2022-07-22 01:00:08,2022-07-22 02:00:07,2022-07-22 03:00:06,2022-07-22 04:00:07,2022-07-22 05:00:06,2022-07-22 06:00:07,2022-07-22 07:00:07
total,total,6860430000000000000000,6909700000000000000000,6914060000000000000000,6916910000000000000000,6922890000000000000000,6938990000000000000000,6947410000000000000000,6957913972819415741089,6968105572819415741089,6984641802819415741089,7009722442819415741089,7030299072819415741089,7039955552819415741089,7048010312819415741089
62b206ea-60a6-460b-be3f-18dd4239b21d,ITVposters,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1015ac9-5323-4eda-b701-a1455b9b58b6,test,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96328bd2-100c-4479-b68d-3b9d5cdef00f,thehardddrive-logo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
090495ce-c764-4e8c-9a4e-54d536b97954,AbanteProductionsLogos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54c6346b-afa1-449d-8c88-696584f45c1e,MoonLanding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaa16801-32ed-4c9e-92a8-0bf34cec2ea1,DankClops-editions,29000000000000000,29000000000000000,29000000000000000,29000000000000000,29000000000000000,29000000000000000,29000000000000000,29000000000000000,29000000000000000,29000000000000000,29000000000000000,29000000000000000,29000000000000000,29000000000000000
35910b9f-f490-45c2-8cce-3dc406459507,rooms,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27666a66-dfa1-43f5-8562-394f79f307d5,corners,9599000000000000000,9599000000000000000,9599000000000000000,9599000000000000000,9599000000000000000,9599000000000000000,9599000000000000000,9599000000000000000,9599000000000000000,9599000000000000000,9599000000000000000,9599000000000000000,9599000000000000000,9599000000000000000
d9c87198-7c11-45cb-bcfb-34e8e999c835,Skelevision,1686180000000000000,1686180000000000000,1707170000000000000,1707170000000000000,1728170000000000000,1728170000000000000,1728170000000000000,1728170000000000000,1743170000000000000,1743170000000000000,1743170000000000000,1743170000000000000,1743170000000000000,1743170000000000000
2631a362-2125-4dc0-936b-55c708e4f056,memorycards,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98ebd495-9d9a-47c5-8c0d-3ae88f51111d,thefirstskulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0041643d-07eb-431c-baba-edfcb908f88f,blockchain-demoness,7721990000000000000,7721990000000000000,7721990000000000000,7721990000000000000,7721990000000000000,7721990000000000000,7721990000000000000,7721990000000000000,7721990000000000000,7721990000000000000,7721990000000000000,7721990000000000000,7721990000000000000,7721990000000000000
8818d6f3-08ad-4e37-8d16-b83400f9ac15,ITVcharacters,640390000000000000,645390000000000000,645390000000000000,645390000000000000,645390000000000000,645390000000000000,645390000000000000,645390000000000000,645390000000000000,645390000000000000,645390000000000000,645390000000000000,645390000000000000,645390000000000000
73870df1-c72a-4c66-8f38-6211bcc85c81,gems,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62812f24-121c-4ac4-a857-beb35b81a40c,testingnew,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c00885f7-826e-4b6c-b084-ad85cf932ada,dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fdfbf68e-108e-4787-86a8-4ed35688bfeb,releases,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbfcf3eb-d44d-47ea-99d9-3e2c175dbe6b,ITVartbyAWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cf9f5e84-658c-47a6-b8ac-fcca885c1e52,SlothSeason-DealWithIt,1136680000000000000,1136680000000000000,1136680000000000000,1136680000000000000,1136680000000000000,1136680000000000000,1136680000000000000,1136680000000000000,1136680000000000000,1136680000000000000,1136680000000000000,1136680000000000000,1136680000000000000,1136680000000000000
2c12c759-a940-4df1-b41a-f0da8f5c624f,hidden,983000000000000000,983000000000000000,983000000000000000,983000000000000000,983000000000000000,983000000000000000,983000000000000000,983000000000000000,983000000000000000,983000000000000000,983000000000000000,983000000000000000,983000000000000000,983000000000000000
9ab11183-a4ab-42f7-8c18-8511b59b3ce0,cards,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dec5dc35-5f29-485a-ac8e-85954759cc58,demigods,6143570000000000000,6143570000000000000,6143570000000000000,6143570000000000000,6143570000000000000,6143570000000000000,6143570000000000000,6143570000000000000,6143570000000000000,6143570000000000000,6143570000000000000,6143570000000000000,6143570000000000000,6143570000000000000
fb29409e-f3cb-4461-96a6-a55f31a58ac2,Misosoup,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5237e8a9-be7b-44f4-8806-e0d023ca96cd,tedkennedyreleases,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8da603a4-a396-4a5b-8175-e660accc0e64,Dankclops-basic-stickers,505000000000000000,505000000000000000,505000000000000000,505000000000000000,505000000000000000,505000000000000000,505000000000000000,505000000000000000,505000000000000000,505000000000000000,505000000000000000,505000000000000000,505000000000000000,505000000000000000
b0d5ea2d-58ca-4bff-a111-7a4614bf2621,pickyourpoison,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ba6301d-1876-49fb-adff-b1345b6c54b7,WeluckyFew,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18aaef0c-daf4-444d-8af2-59be42fc4d31,SmilingApes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111524b4-8c58-4042-8efe-dd6f42e691d8,MonsterScouts,1500400000000000000,1500400000000000000,1500400000000000000,1500400000000000000,1500400000000000000,1500400000000000000,1500400000000000000,1500400000000000000,1500400000000000000,1500400000000000000,1500400000000000000,1500400000000000000,1500400000000000000,1500400000000000000
193b8987-79ae-405c-8407-e0997215095a,portrait,5850000000000000000,5850000000000000000,5850000000000000000,5850000000000000000,5850000000000000000,5850000000000000000,5850000000000000000,5850000000000000000,5850000000000000000,5850000000000000000,5850000000000000000,5850000000000000000,5850000000000000000,5850000000000000000
a3d5ae03-93e4-4972-91b4-2b138590bdf7,esoeandnaleh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3108f09d-3264-495f-93c5-ee868c6b3b96,204863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152a1dc8-515d-48b1-8457-298afd5a3a66,slides,850000000000000000,850000000000000000,850000000000000000,850000000000000000,850000000000000000,850000000000000000,850000000000000000,850000000000000000,850000000000000000,850000000000000000,850000000000000000,850000000000000000,850000000000000000,850000000000000000
43620314-df0c-4946-9389-bc265de761bf,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d4c27448-bb6e-4f3a-b44d-786c47fc75a1,script,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8f21b587-51ad-4257-94e6-b9607d4ef762,dogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23d6028b-defa-4b8d-8fee-e8334c58147b,nfts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1f58863-f093-4006-a72d-f338b6881359,jpeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72bbb987-e4bf-445b-8d55-9c79374615ca,gtav,0,0,0,0,0,0,0,0,0,0,0,0,0,0
017ffc5a-c05f-4fa4-aabc-cccd971ae0cd,abc,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000,1000000000000000000
7b834521-1b0a-463d-a157-9ba618309040,punchingpandas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30f7bad9-15a9-49f2-bc4b-4c5cc851623c,hexagons,120000000000000000,120000000000000000,120000000000000000,120000000000000000,120000000000000000,120000000000000000,120000000000000000,120000000000000000,120000000000000000,120000000000000000,120000000000000000,120000000000000000,120000000000000000,120000000000000000
644469ee-0db9-48ab-9541-3904051d5576,deletedbadkingkong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca52d8f1-4ac2-4ee0-8d06-4134db7e4dc4,goth,1813800000000000000,1813800000000000000,1813800000000000000,1813800000000000000,1813800000000000000,1813800000000000000,1813800000000000000,1813800000000000000,1813800000000000000,1813800000000000000,1813800000000000000,1813800000000000000,1813800000000000000,1813800000000000000
84a1df3e-0f48-4bef-b164-a35600443590,fine-art,872000000000000000,872000000000000000,872000000000000000,872000000000000000,872000000000000000,872000000000000000,872000000000000000,872000000000000000,872000000000000000,872000000000000000,872000000000000000,872000000000000000,872000000000000000,872000000000000000
776648b2-3948-4af0-b626-6b49dfcb0aea,BeepMiscellaneous,2114350000000000000,2114350000000000000,2114350000000000000,2114350000000000000,2114350000000000000,2114350000000000000,2114350000000000000,2114350000000000000,2114350000000000000,2125350000000000000,2148550000000000000,2148550000000000000,2148550000000000000,2148550000000000000
11bfacb8-bcef-4fd0-b0d9-a4e730fef78c,haunted-dolls,1586610000000000000,1586610000000000000,1586610000000000000,1586610000000000000,1588600000000000000,1588600000000000000,1590600000000000000,1590600000000000000,1590600000000000000,1592600000000000000,1592600000000000000,1592600000000000000,1596590000000000000,1596590000000000000
752c491c-2671-4a75-8ad2-02800ded6178,oldart,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5bc6163c-d539-4eec-b609-8b175047578b,abstract-shapes,1080000000000000000,1080000000000000000,1080000000000000000,1080000000000000000,1080000000000000000,1080000000000000000,1080000000000000000,1080000000000000000,1080000000000000000,1080000000000000000,1080000000000000000,1080000000000000000,1080000000000000000,1080000000000000000
0553c6b1-abe3-4d01-9622-7c48b3798dd3,nft,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c735ddbf-77fa-4b07-9093-9be983a90c63,dtweenie-stickers,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c6fa7f0-b277-42f4-aa20-32db0a91437d,USA,160000000000000000,160000000000000000,160000000000000000,160000000000000000,160000000000000000,160000000000000000,160000000000000000,160000000000000000,160000000000000000,160000000000000000,160000000000000000,160000000000000000,160000000000000000,160000000000000000
ee0cb89f-d905-44c2-89b0-294c5de66f1c,tgwfsbonus,4880000000000000000,4880000000000000000,4880000000000000000,4880000000000000000,4880000000000000000,4880000000000000000,4880000000000000000,4880000000000000000,4880000000000000000,4880000000000000000,4880000000000000000,4880000000000000000,4880000000000000000,4880000000000000000
5b55bc23-b7df-4b3d-92c7-92d365839d8a,alice-in-warland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42b19d7e-c2aa-4da0-bdc9-0ea486d0348d,PaperHeads,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011fd4e4-82ca-4bf4-a019-df844e1cbea9,apes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7abbfaef-8175-41ee-afb0-0a1dff57769e,NPSeamen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76546869-fdb0-4b14-9083-80113af24245,APERIDRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f2924d7c-227c-411d-bd5e-96ac402b5b0e,StupidMonkeysInteractive,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8533235b-65fa-4d12-b65b-b215d94fc3f6,lamborghini,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104c40a8-4cfe-4f9f-a880-725ec7d76914,dnd-monsters,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000
56fe1690-2287-424a-8bf2-5314f1ba6333,vzewllaunchday,24412200000000000000,24462200000000000000,24462200000000000000,24462200000000000000,24462200000000000000,24462200000000000000,24462200000000000000,24462170000000000000,24462170000000000000,24462170000000000000,24462170000000000000,24462170000000000000,24462170000000000000,24462170000000000000
d9c6a695-52f7-428f-a888-c674720fcbd0,Abstract,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431ea64e-4424-4787-b6cd-5a2afa925a0e,dfv,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748a3525-aa4f-474e-8004-734922671c4f,Test_Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45d912ed-e89e-487d-bd68-7db4b3db5eb3,universum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
072266c3-db44-496b-b93e-fa3b2ebcd98c,Moon222Collabs,1950000000000000000,1950000000000000000,1950000000000000000,1950000000000000000,1950000000000000000,1950000000000000000,1950000000000000000,1950000000000000000,1950000000000000000,1950000000000000000,1950000000000000000,1950000000000000000,1950000000000000000,1950000000000000000
15911e68-d89c-48ee-894a-f52d2a323a8f,wildlife,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b447759-7e60-4fae-b22d-8589b6bd500f,animals,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392c3626-f771-46c5-995b-df172028a8b9,terra,1799990000000000000,1799990000000000000,1799990000000000000,1799990000000000000,1799990000000000000,1799990000000000000,1799990000000000000,1799990000000000000,1799990000000000000,1799990000000000000,1799990000000000000,1799990000000000000,1799990000000000000,1799990000000000000
1d3c4457-1d0a-45eb-a232-98637092ec12,sidequest,475000000000000000,475000000000000000,475000000000000000,475000000000000000,475000000000000000,475000000000000000,475000000000000000,475000000000000000,475000000000000000,475000000000000000,475000000000000000,475000000000000000,475000000000000000,475000000000000000
427b9af1-b75e-48f1-b061-9f4610e48c45,livingrooms,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d797c418-edd5-4a66-8a52-c470f853a575,outre,575000000000000000,575000000000000000,575000000000000000,575000000000000000,575000000000000000,575000000000000000,575000000000000000,575000000000000000,575000000000000000,575000000000000000,575000000000000000,575000000000000000,575000000000000000,575000000000000000
cfe0ed1f-8896-4a03-81a4-aae478e9ce7a,meta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf1fb1db-b72f-46fc-a03d-5981b212e353,StupidMonkeySenior,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30fa88a3-4d61-4acc-933e-823bfe97b371,CTFO,100000000000000000,100000000000000000,100000000000000000,100000000000000000,100000000000000000,100000000000000000,100000000000000000,100000000000000000,100000000000000000,100000000000000000,100000000000000000,100000000000000000,100000000000000000,100000000000000000
f8667f87-34a1-4485-adaa-ad49091e6656,nature,4299100000000000000,4299100000000000000,4299100000000000000,4299100000000000000,4299100000000000000,4299100000000000000,4299100000000000000,4299100000000000000,4299100000000000000,4299100000000000000,4299100000000000000,4299100000000000000,4299100000000000000,4299100000000000000
40b8b59c-88b3-49f9-b464-bad7daf59a36,LoneNavigatorAnarchy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c769fa84-d640-4a7f-bff8-e131c357c56c,DDD,15974600000000000000,15988000000000000000,15989100000000000000,15993100000000000000,16001200000000000000,16010800000000000000,16056100000000000000,16069120000000000000,16073120000000000000,16083920000000000000,16092720000000000000,16096190000000000000,16100690000000000000,16110690000000000000
651bddbe-a486-42e5-939a-d6b4d328e6a6,urbanwildlife,11336700000000000000,11336700000000000000,11336700000000000000,11336700000000000000,11336700000000000000,11336700000000000000,11336700000000000000,11336747519415741089,11336747519415741089,11336747519415741089,11336747519415741089,11336747519415741089,11355747519415741089,11355747519415741089
65254e83-06a2-463f-93ea-0cbccdca60d7,luma44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36b8287a-0fbd-4595-a562-2bccc615d3fa,Metagate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b19e532-bf48-4559-8e69-e003a68a82f5,tgwfsinteractive,600000000000000000,600000000000000000,600000000000000000,600000000000000000,600000000000000000,600000000000000000,600000000000000000,600000000000000000,600000000000000000,600000000000000000,600000000000000000,600000000000000000,600000000000000000,600000000000000000
029bef83-6f68-42cf-8bd7-d4255ad8f7ea,ape,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f7f19d1f-2a9f-468e-bb94-a93e7925a147,ZKBrains,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3628aaeb-4154-4b91-9522-e4583db706f1,IntoTheVeil,14783700000000000000,14783700000000000000,14783700000000000000,14783700000000000000,14837700000000000000,14864700000000000000,14864700000000000000,14864700000000000000,14864700000000000000,14864700000000000000,14864700000000000000,14864700000000000000,14864700000000000000,14864700000000000000
77e3e440-43c9-4394-be14-308e6490350f,SmilingApesSPecialEditions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfceeb9b-cf28-4d4e-af65-73013c387363,Chameleon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71d3c7e1-ca80-4356-b083-96009fb627e7,testing,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10cfc286-d455-4de8-9535-081a7b76a9f0,Pixelsoulies,12014000000000000000,12059400000000000000,12114400000000000000,12117300000000000000,12133700000000000000,12141200000000000000,12159900000000000000,12198360000000000000,12297960000000000000,12346260000000000000,12352860000000000000,12363860000000000000,12363860000000000000,12409460000000000000
954c8972-7248-405f-a1e1-c7318fb2f9d2,laser,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59701ec2-69e8-42c6-a17c-8b4da1c7da7d,bedrooms,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974ed506-5917-4e19-b020-f30a67642ab4,Starfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ffa6f15-b9ca-408c-a6d4-cea8e9ccb53e,dtweeniespecials,4900000000000000000,4900000000000000000,4900000000000000000,4900000000000000000,4900000000000000000,4900000000000000000,4900000000000000000,4900000000000000000,4900000000000000000,4900000000000000000,4900000000000000000,4900000000000000000,4900000000000000000,4900000000000000000
a203c35c-aaf8-4da9-83f3-b86ed25056b8,protagonists,1276000000000000000,1276000000000000000,1276000000000000000,1276000000000000000,1276000000000000000,1276000000000000000,1276000000000000000,1276000000000000000,1276000000000000000,1276000000000000000,1276000000000000000,1276000000000000000,1276000000000000000,1276000000000000000
5ce40a57-1012-49fb-b545-0ce5f2b90d6c,collabs,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbf066ff-6090-4b57-ae68-981a9aaf3f8b,lettuce,8560600000000000000,8581000000000000000,8581000000000000000,8581000000000000000,8581000000000000000,8583000000000000000,8583000000000000000,8583000000000000000,8583000000000000000,8583000000000000000,8583000000000000000,8583000000000000000,8583000000000000000,8583000000000000000
